         462088 function calls (461222 primitive calls) in 20.483 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9064    3.863    0.000   11.048    0.001 torchlight2.py:38(render)
      215    3.470    0.016    3.470    0.016 {time.sleep}
    23241    2.468    0.000    4.042    0.000 torchlight2.py:30(render)
    73715    1.948    0.000    1.948    0.000 img.py:46(__init__)
    32304    1.544    0.000    2.394    0.000 img.py:73(__add__)
    27090    1.407    0.000    2.122    0.000 img.py:60(scaleClip)
    96846    0.898    0.000    0.898    0.000 {max}
     9030    0.571    0.000    2.693    0.000 img.py:66(pack)
      216    0.477    0.002   11.548    0.053 img.py:19(compute)
     9030    0.358    0.000    3.814    0.000 splash.py:24(setPixel)
    27707    0.305    0.000    0.305    0.000 {min}
     9030    0.287    0.000    0.762    0.000 neopixel.py:124(setPixelColor)
     9255    0.270    0.000    0.309    0.000 random.py:358(uniform)
      215    0.267    0.001    4.309    0.020 splash.py:30(showImage)
     9030    0.230    0.000    0.476    0.000 neopixel.py:36(__setitem__)
    23290    0.227    0.000    0.227    0.000 {math.sqrt}
    27090    0.214    0.000    0.214    0.000 {round}
    10430    0.139    0.000    0.139    0.000 {isinstance}
     9030    0.122    0.000    0.122    0.000 {_rpi_ws281x.ws2811_led_set}
      215    0.113    0.001    0.113    0.001 {_rpi_ws281x.ws2811_render}
     9030    0.090    0.000    0.090    0.000 img.py:11(getPixel)
   157/47    0.077    0.000    0.215    0.005 sre_parse.py:388(_parse)
   292/42    0.058    0.000    0.121    0.003 sre_compile.py:64(_compile)
        1    0.051    0.051   20.485   20.485 torchlight2.py:1(<module>)
     3313    0.046    0.000    0.046    0.000 {range}
     1659    0.046    0.000    0.053    0.000 sre_parse.py:191(__next)
     9351    0.039    0.000    0.039    0.000 {method 'random' of '_random.Random' objects}
        1    0.039    0.039    0.039    0.039 hashlib.py:56(<module>)
        5    0.032    0.006    0.059    0.012 collections.py:288(namedtuple)
        2    0.031    0.015    0.055    0.027 zipfile.py:803(_RealGetContents)
        1    0.029    0.029    0.919    0.919 pkg_resources.py:15(<module>)
       28    0.025    0.001    0.072    0.003 pkg_resources.py:1884(find_on_path)
     1208    0.024    0.000    0.039    0.000 sre_parse.py:139(__getitem__)
