         476260 function calls (475394 primitive calls) in 22.259 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7951    4.420    0.001   14.567    0.002 torchlight2.py:38(render)
    39376    4.118    0.000    6.811    0.000 torchlight2.py:30(render)
      189    3.050    0.016    3.050    0.016 {time.sleep}
    86746    2.483    0.000    2.483    0.000 img.py:46(__init__)
    39376    2.029    0.000    3.127    0.000 img.py:74(__add__)
   118161    1.146    0.000    1.146    0.000 {max}
    23814    0.967    0.000    1.142    0.000 img.py:60(scaleClip)
     7938    0.500    0.000    1.642    0.000 img.py:67(pack)
      190    0.429    0.002   15.015    0.079 img.py:19(compute)
    39459    0.373    0.000    0.373    0.000 {math.sqrt}
     7938    0.306    0.000    2.577    0.000 splash.py:24(setPixel)
     7938    0.238    0.000    0.629    0.000 neopixel.py:124(setPixelColor)
      189    0.229    0.001    3.011    0.016 splash.py:30(showImage)
     7938    0.180    0.000    0.391    0.000 neopixel.py:36(__setitem__)
    23814    0.175    0.000    0.175    0.000 {round}
     9338    0.123    0.000    0.123    0.000 {isinstance}
     7938    0.104    0.000    0.104    0.000 {_rpi_ws281x.ws2811_led_set}
      189    0.102    0.001    0.102    0.001 {_rpi_ws281x.ws2811_render}
     7938    0.081    0.000    0.081    0.000 img.py:11(getPixel)
   157/47    0.080    0.001    0.215    0.005 sre_parse.py:388(_parse)
        1    0.060    0.060   22.261   22.261 torchlight2.py:1(<module>)
   292/42    0.058    0.000    0.124    0.003 sre_compile.py:64(_compile)
     1659    0.043    0.000    0.051    0.000 sre_parse.py:191(__next)
     2946    0.039    0.000    0.039    0.000 {range}
        1    0.037    0.037    0.038    0.038 hashlib.py:56(<module>)
        5    0.033    0.007    0.059    0.012 collections.py:288(namedtuple)
        2    0.031    0.015    0.054    0.027 zipfile.py:803(_RealGetContents)
        1    0.030    0.030    0.920    0.920 pkg_resources.py:15(<module>)
  415/165    0.027    0.000    0.033    0.000 sre_parse.py:149(getwidth)
     1208    0.024    0.000    0.039    0.000 sre_parse.py:139(__getitem__)
      941    0.024    0.000    0.024    0.000 torchlight2.py:21(update)
       28    0.023    0.001    0.070    0.002 pkg_resources.py:1884(find_on_path)
     1385    0.019    0.000    0.061    0.000 sre_parse.py:210(get)
        1    0.019    0.019    0.021    0.021 socket.py:45(<module>)
        3    0.019    0.006    0.019    0.006 {method 'get_data' of 'zipimport.zipimporter' objects}
        1    0.019    0.019    0.206    0.206 utils.py:5(<module>)
5860/5709    0.019    0.000    0.020    0.000 {len}
        1    0.018    0.018    0.975    0.975 _rpi_ws281x.py:1(__bootstrap__)
      111    0.016    0.000    0.025    0.000 sre_compile.py:256(_optimize_charset)
     4464    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
      941    0.015    0.000    0.015    0.000 torchlight2.py:27(inBounds)
